"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","leads_count","spent","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,103,100,21654,25,1654810
2023-06-01,yandex,cpc,prof-frontend,78,73,57138,12,1057000
2023-06-01,yandex,cpc,prof-python,62,61,33026,7,613196
2023-06-01,yandex,cpc,base-python,31,28,12524,7,476021
2023-06-01,vk,cpc,prof-python,72,40,2028,5,355564
2023-06-01,vk,cpc,freemium-frontend,80,43,3160,5,338083
2023-06-01,yandex,cpc,prof-java,49,49,29490,4,284590
2023-06-01,yandex,cpc,base-frontend,40,39,18061,3,268515
2023-06-01,vk,cpc,prof-java,51,23,3115,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,14,14,10086,2,220264
2023-06-01,yandex,cpc,prof-professions-brand,13,13,4818,3,154287
2023-06-01,yandex,cpc,dod-php,4,4,5964,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,4,4,151,1,134100
2023-06-01,yandex,cpc,base-java,20,20,19252,1,48000
2023-06-01,vk,cpc,base-python,59,36,2537,1,9072
